materials;participant;is_test_trial;item;condition;context;Vpos;PI;structuralC;contextualC;position;rating1;content
qb_E1_main;1;no;26;d;neutral;V1;PPI;0;0;63;6;"A: Karel Ĺˇel do pĹŻjÄŤovny aut, kterĂˇ mĂˇ velkĂ˝ vĂ˝bÄ›r. 

B: Nevybral si Karel nÄ›jakou Ĺˇkodovku?"
qb_E1_main;1;no;27;e;negative;nonV1;NCI;0;0;58;4;"A: LukĂˇĹˇ poloĹľil na stĹŻl penĂˇl, ze kterĂ©ho vyndal ÄŤervenou fixu.

B: LukĂˇĹˇ z nÄ›j nevytĂˇhnul ĹľĂˇdnou pastelku?"
qb_E1_main;1;no;28;f;neutral;nonV1;NCI;0;1;42;5;"A: Franta si nesl sportovnĂ­ taĹˇku, kterĂˇ mÄ›la modrĂ© logo.

B: Franta si tam nezabalil ĹľĂˇdnĂ˝ mĂ­ÄŤ?"
qb_E1_main;1;no;29;g;negative;nonV1;PPI;1;0;77;4;"A: Ivan vidÄ›l venku padat snĂ­h, ze kterĂ©ho si postavil iglĂş.

B: Ivan si nepostavil nÄ›jakĂ©ho snÄ›hulĂˇka?"
qb_E1_main;1;no;30;h;neutral;nonV1;PPI;1;0;45;4;"A: Dan si udÄ›lal vĂ˝let do zoo, kde uĹľ dlouho nebyl.

B: Dan tam neobdivoval nÄ›jakou Ĺˇelmu?"
qb_E1_main;1;no;31;a;negative;V1;NCI;1;0;37;5;"A: David si uĹľil letnĂ­ prĂˇzdniny, kterĂ© strĂˇvil s rodiÄŤi na chatÄ›.

B: Nebyl David na ĹľĂˇdnĂ©m tĂˇboĹ™e?"
qb_E1_main;1;no;32;b;neutral;V1;NCI;1;1;82;6;"A: Honza byl na lekci hranĂ­ ĹˇachĹŻ, kterĂˇ se konala v ĂşterĂ˝.

B: NepĹ™iĹˇel Honza o ĹľĂˇdnĂ©ho pÄ›Ĺˇce?"
qb_E1_main;2;no;1;e;negative;nonV1;NCI;0;0;14;5;"A: Eva se zĂşÄŤastnila lingvistickĂ© olympiĂˇdy, kde skonÄŤila jako ÄŤtvrtĂˇ.

B: Eva nevyhrĂˇla ĹľĂˇdnou cenu?"
qb_E1_main;2;no;2;f;neutral;nonV1;NCI;0;1;24;2;"A: Sandra byla na vyĹˇetĹ™enĂ­ v zubnĂ­ ordinaci, kam chodĂ­ docela ÄŤasto.

B: ZubaĹ™ka jĂ­ nevytrhla ĹľĂˇdnĂ˝ zub?"
qb_E1_main;2;no;3;g;negative;nonV1;PPI;1;0;48;5;"A: MarkĂ©ta se zapsala na kurz vaĹ™enĂ­, kvĹŻli kterĂ©mu si od maminky pĹŻjÄŤila papiĹĂˇk.

B: MarkĂ©ta si od maminky nepĹŻjÄŤila nÄ›jakou pĂˇnviÄŤku?"
qb_E1_main;2;no;4;h;neutral;nonV1;PPI;1;0;72;4;"A: AdĂ©la rĂˇno vychĂˇzela z pekĂˇrny, kterĂˇ je za rohem.

B: AdĂ©la nechtÄ›la nÄ›jakĂ© kolĂˇÄŤe?"
qb_E1_main;2;no;5;a;negative;V1;NCI;1;0;79;7;"A: Lenka zaĹˇla do knihovny, kde si pĹŻjÄŤila bĂˇsnickou sbĂ­rku. 

B: NepĹŻjÄŤila si Lenka ĹľĂˇdnĂ˝ romĂˇn?"
qb_E1_main;2;no;6;b;neutral;V1;NCI;1;1;66;5;"A: Sabina Ĺˇla o vĂ­kendu do divadla, kam sehnala levnĂ© lĂ­stky.

B: Nebyla Sabina na ĹľĂˇdnĂ© tragĂ©dii?"
qb_E1_main;2;no;7;c;negative;V1;PPI;0;0;77;6;"A: Jana mĂˇ na zahradÄ› zĂˇhon, kam zasadila zeleninu.

B: Nezasadila tam Jana nÄ›jakĂ© kvÄ›tiny?"
qb_E1_main;2;no;8;d;neutral;V1;PPI;0;0;56;5;"A: Johana zavĹ™ela kufĹ™Ă­k s nĂˇĹ™adĂ­m, kterĂ˝ mÄ›la na pĹŻdÄ›. 

B: NevrĂˇtila Johana do kufĹ™Ă­ku nÄ›jakĂ˝ ĹˇroubovĂˇk? "
qb_E1_main;2;no;9;e;negative;nonV1;NCI;0;0;38;6;"A: Barbora s nĂˇmi nasdĂ­lela sloĹľku, do kterĂ© uloĹľila textovĂ˝ dokument.

B: Barbora do sloĹľky neuloĹľila ĹľĂˇdnou tabulku?"
qb_E1_main;2;no;10;f;neutral;nonV1;NCI;0;1;54;5;"A: Martina se vrĂˇtila z drogerie, kterĂˇ je naproti poĹˇtÄ›.

B: Martina si nekoupila ĹľĂˇdnĂ˝ Ĺˇampon?"
qb_E1_main;2;no;11;g;negative;nonV1;PPI;1;0;21;3;"A: Tereza vyprĂˇvÄ›la o poznĂˇvacĂ­m zĂˇjezdu do Egypta, kde se byla podĂ­vat na sfingu.  

B: Tereza nevidÄ›la nÄ›jakou pyramidu?"
qb_E1_main;2;no;12;h;neutral;nonV1;PPI;1;0;12;1;"A: KlĂˇra mÄ›la na uĹˇĂ­ch sluchĂˇtka, kterĂˇ dostala o VĂˇnocĂ­ch.

B: KlĂˇra neposlouchala nÄ›jakĂ˝ podcast?"
qb_E1_main;2;no;13;a;negative;V1;NCI;1;0;46;2;"A: Denisa vzpomĂ­nala na Ăştulek, ze kterĂ©ho si domĹŻ pĹ™ivedla koÄŤku.

B: NepĹ™ivedla si Denisa domĹŻ ĹľĂˇdnĂ©ho psa?"
qb_E1_main;2;no;14;b;neutral;V1;NCI;1;1;34;5;"A: NatĂˇlie se dĂ­vala na svĹŻj pondÄ›lnĂ­ rozvrh, kterĂ˝ si sama sestavila. 

B: NechodĂ­ NatĂˇlie v pondÄ›lĂ­ na ĹľĂˇdnou pĹ™ednĂˇĹˇku?"
qb_E1_main;2;no;15;c;negative;V1;PPI;0;0;4;4;"A: PavlĂ­na jela po dĂˇlnici, kde zastavila v odstavnĂ©m pruhu.

B: Nezastavila PavlĂ­na na nÄ›jakĂ©m odpoÄŤĂ­vadle? "
qb_E1_main;2;no;16;d;neutral;V1;PPI;0;0;62;7;"A: Zuzana se zdrĹľela v trafice, kterĂˇ je poblĂ­Ĺľ tramvajovĂ© zastĂˇvky.

B: NeprohlĂ­Ĺľela si tam Zuzana nÄ›jakĂ˝ ÄŤasopis? "
qb_E1_main;2;no;17;e;negative;nonV1;NCI;0;0;75;7;"A: Adam se posadil v cukrĂˇrnÄ›, kde snÄ›dl ovocnĂ˝ koĹˇĂ­ÄŤek.

B: Adam si nedal ĹľĂˇdnĂ˝ dortĂ­k?"
qb_E1_main;2;no;18;f;neutral;nonV1;NCI;0;1;29;6;"A: Ĺ tÄ›pĂˇn byl na ÄŤundru, na kterĂ˝ jezdĂ­ kaĹľdĂ© lĂ©to.

B: Ĺ tÄ›pĂˇn si s sebou nevzal ĹľĂˇdnĂ˝ stan?"
qb_E1_main;2;no;19;g;negative;nonV1;PPI;1;0;31;5;"A: Ondra veÄŤeĹ™el v italskĂ© restauraci, kde si objednal Ĺˇpagety.  

B: Ondra si neobjednal nÄ›jakou pizzu?"
qb_E1_main;2;no;20;h;neutral;nonV1;PPI;1;0;17;4;"A: TomĂˇĹˇ byl o vĂ­kendu na pĂˇrty, na kterou dorazili i jeho kamarĂˇdi.

B: TomĂˇĹˇ si tam nedal nÄ›jakĂ˝ drink?"
qb_E1_main;2;no;21;a;negative;V1;NCI;1;0;64;5;"A: Jirka otevĹ™el pĹ™Ă­bornĂ­k, ze kterĂ©ho vyndal vidliÄŤky. 

B: Nevyndal Jirka z pĹ™Ă­bornĂ­ku ĹľĂˇdnĂ© noĹľe?"
qb_E1_main;2;no;22;b;neutral;V1;NCI;1;1;10;3;"A: Martin stĂˇl v obchodÄ› za pokladnou, kam ho poslal jeho ĹˇĂ©f. 

B: NepĹ™ijĂ­mal tam Martin ĹľĂˇdnou objednĂˇvku? "
qb_E1_main;2;no;23;c;negative;V1;PPI;0;0;27;3;"A: Petr strĂˇvil lĂ©to v pĹ™Ă­stavu, kde si pĹŻjÄŤil vodnĂ­ skĹŻtr.

B: NepĹŻjÄŤil si Petr nÄ›jakou plachetnici? "
qb_E1_main;2;no;24;d;neutral;V1;PPI;0;0;2;5;"A: Pavel se zastavil v lĂ©kĂˇrnÄ›, kterĂˇ je v areĂˇlu nemocnice.

B: NepĹ™inesl si Pavel nÄ›jakĂ© pilulky?"
qb_E1_main;2;no;25;e;negative;nonV1;NCI;0;0;70;5;"A: Michal poklĂˇdal na stĹŻl Ĺˇperkovnici, do kterĂ© uloĹľil nĂˇhrdelnĂ­k.

B: Michal nedal do Ĺˇperkovnice ĹľĂˇdnĂ˝ prsten?"
qb_E1_main;2;no;26;f;neutral;nonV1;NCI;0;1;60;6;"A: Karel Ĺˇel do pĹŻjÄŤovny aut, kterĂˇ mĂˇ velkĂ˝ vĂ˝bÄ›r. 

B: Karel si nevybral ĹľĂˇdnou Ĺˇkodovku?"
qb_E1_main;2;no;27;g;negative;nonV1;PPI;1;0;7;3;"A: LukĂˇĹˇ poloĹľil na stĹŻl penĂˇl, ze kterĂ©ho vyndal ÄŤervenou fixu.

B: LukĂˇĹˇ z nÄ›j nevytĂˇhnul nÄ›jakou pastelku?"
qb_E1_main;2;no;28;h;neutral;nonV1;PPI;1;0;36;2;"A: Franta si nesl sportovnĂ­ taĹˇku, kterĂˇ mÄ›la modrĂ© logo.

B: Franta si tam nezabalil nÄ›jakĂ˝ mĂ­ÄŤ?"
qb_E1_main;2;no;29;a;negative;V1;NCI;1;0;58;5;"A: Ivan vidÄ›l venku padat snĂ­h, ze kterĂ©ho si postavil iglĂş.

B: Nepostavil si Ivan ĹľĂˇdnĂ©ho snÄ›hulĂˇka?"
qb_E1_main;2;no;30;b;neutral;V1;NCI;1;1;40;5;"A: Dan si udÄ›lal vĂ˝let do zoo, kde uĹľ dlouho nebyl.

B: Neobdivoval tam Dan ĹľĂˇdnou Ĺˇelmu?"
qb_E1_main;2;no;31;c;negative;V1;PPI;0;0;50;7;"A: David si uĹľil letnĂ­ prĂˇzdniny, kterĂ© strĂˇvil s rodiÄŤi na chatÄ›.

B: Nebyl David na nÄ›jakĂ©m tĂˇboĹ™e?"
qb_E1_main;2;no;32;d;neutral;V1;PPI;0;0;52;5;"A: Honza byl na lekci hranĂ­ ĹˇachĹŻ, kterĂˇ se konala v ĂşterĂ˝.

B: NepĹ™iĹˇel Honza o nÄ›jakĂ©ho pÄ›Ĺˇce?"
qb_E1_main;3;no;1;f;neutral;nonV1;NCI;0;1;34;2;"A: Eva se zĂşÄŤastnila lingvistickĂ© olympiĂˇdy, kterĂˇ se konala tohle lĂ©to.

B: Eva nevyhrĂˇla ĹľĂˇdnou cenu?"
qb_E1_main;3;no;2;g;negative;nonV1;PPI;1;0;76;1;"A: Sandra byla na vyĹˇetĹ™enĂ­ v zubnĂ­ ordinaci, odkud odeĹˇla bez bolesti.

B: ZubaĹ™ka jĂ­ nevytrhla nÄ›jakĂ˝ zub?"
qb_E1_main;3;no;3;h;neutral;nonV1;PPI;1;0;37;1;"A: MarkĂ©ta se zapsala na kurz vaĹ™enĂ­, kterĂ˝ mÄ›l dobrĂ© hodnocenĂ­.

B: MarkĂ©ta si od maminky nepĹŻjÄŤila nÄ›jakou pĂˇnviÄŤku?"
qb_E1_main;3;no;4;a;negative;V1;NCI;1;0;5;3;"A: AdĂ©la rĂˇno vychĂˇzela z pekĂˇrny, kde poprosila o ÄŤerstvĂ© rohlĂ­ky.

B: NechtÄ›la AdĂ©la ĹľĂˇdnĂ© kolĂˇÄŤe?"
qb_E1_main;3;no;5;b;neutral;V1;NCI;1;1;19;2;"A: Lenka zaĹˇla do knihovny, kterĂˇ mĂˇ otevĹ™eno nonstop.

B: NepĹŻjÄŤila si Lenka ĹľĂˇdnĂ˝ romĂˇn?"
qb_E1_main;3;no;6;c;negative;V1;PPI;0;0;59;1;"A: Sabina Ĺˇla o vĂ­kendu do divadla, kde zhlĂ©dla komedii.

B: Nebyla Sabina na nÄ›jakĂ© tragĂ©dii?"
qb_E1_main;3;no;7;d;neutral;V1;PPI;0;0;32;6;"A: Jana mĂˇ na zahradÄ› zĂˇhon, kterĂ˝ vybudovala pĹ™ed rokem.

B: Nezasadila tam Jana nÄ›jakĂ© kvÄ›tiny?"
qb_E1_main;3;no;8;e;negative;nonV1;NCI;0;0;78;5;"A: Johana zavĹ™ela kufĹ™Ă­k s nĂˇĹ™adĂ­m, do kterĂ©ho vrĂˇtila kladivo.

B: Johana do kufĹ™Ă­ku nevrĂˇtila ĹľĂˇdnĂ˝ ĹˇroubovĂˇk?"
qb_E1_main;3;no;9;f;neutral;nonV1;NCI;0;1;52;2;"A: Barbora s nĂˇmi nasdĂ­lela sloĹľku, kterou vytvoĹ™ila nedĂˇvno.

B: Barbora do sloĹľky neuloĹľila ĹľĂˇdnou tabulku?"
qb_E1_main;3;no;10;g;negative;nonV1;PPI;1;0;67;4;"A: Martina se vrĂˇtila z drogerie, kde si poĹ™Ă­dila sprchovĂ˝ gel. 

B: Martina si nekoupila nÄ›jakĂ˝ Ĺˇampon?"
qb_E1_main;3;no;11;h;neutral;nonV1;PPI;1;0;74;1;"A: Tereza vyprĂˇvÄ›la o poznĂˇvacĂ­m zĂˇjezdu do Egypta, kde se jĂ­ moc lĂ­bilo.  

B: Tereza nevidÄ›la nÄ›jakou pyramidu?"
qb_E1_main;3;no;12;a;negative;V1;NCI;1;0;82;1;"A: KlĂˇra mÄ›la na uĹˇĂ­ch sluchĂˇtka, ze kterĂ˝ch poslouchala pĂ­sniÄŤky.

B: Neposlouchala KlĂˇra ĹľĂˇdnĂ˝ podcast?"
qb_E1_main;3;no;13;b;neutral;V1;NCI;1;1;72;4;"A: Denisa vzpomĂ­nala na Ăştulek, kterĂ˝ byl plnĂ˝ opuĹˇtÄ›nĂ˝ch zvĂ­Ĺ™at.

B: NepĹ™ivedla si Denisa domĹŻ ĹľĂˇdnĂ©ho psa?"
qb_E1_main;3;no;14;c;negative;V1;PPI;0;0;50;7;"A: NatĂˇlie se dĂ­vala na svĹŻj pondÄ›lnĂ­ rozvrh, kde mÄ›la jeden seminĂˇĹ™ za druhĂ˝m.

B: NechodĂ­ NatĂˇlie v pondÄ›lĂ­ na nÄ›jakou pĹ™ednĂˇĹˇku?"
qb_E1_main;3;no;15;d;neutral;V1;PPI;0;0;13;7;"A: PavlĂ­na jela po dĂˇlnici, kterou nedĂˇvno opravili.

B: Nezastavila PavlĂ­na na nÄ›jakĂ©m odpoÄŤĂ­vadle? "
qb_E1_main;3;no;16;e;negative;nonV1;NCI;0;0;61;2;"A: Zuzana se zdrĹľela v trafice, ve kterĂ© si prohlĂ­Ĺľela noviny.

B: Zuzana si tam neprohlĂ­Ĺľela ĹľĂˇdnĂ˝ ÄŤasopis?"
qb_E1_main;3;no;17;f;neutral;nonV1;NCI;0;1;69;4;"A: Adam se posadil v cukrĂˇrnÄ›, kam chodil uĹľ od dÄ›tstvĂ­.

B: Adam si nedal ĹľĂˇdnĂ˝ dortĂ­k?"
qb_E1_main;3;no;18;g;negative;nonV1;PPI;1;0;23;5;"A: Ĺ tÄ›pĂˇn byl na ÄŤundru, kde spal pod ĹˇirĂˇkem.

B: Ĺ tÄ›pĂˇn si s sebou nevzal nÄ›jakĂ˝ stan?"
qb_E1_main;3;no;19;h;neutral;nonV1;PPI;1;0;28;2;"A: Ondra veÄŤeĹ™el v italskĂ© restauraci, ve kterĂ© to krĂˇsnÄ› vonÄ›lo. 

B: Ondra si neobjednal nÄ›jakou pizzu?"
qb_E1_main;3;no;20;a;negative;V1;NCI;1;0;54;5;"A: TomĂˇĹˇ byl o vĂ­kendu na pĂˇrty, ze kterĂ© se vrĂˇtil stĹ™Ă­zlivĂ˝.

B: Nedal si tam TomĂˇĹˇ ĹľĂˇdnĂ˝ drink?"
qb_E1_main;3;no;21;b;neutral;V1;NCI;1;1;8;1;"A: Jirka otevĹ™el pĹ™Ă­bornĂ­k, ve kterĂ©m mÄ›l velkĂ˝ nepoĹ™Ăˇdek.

B: Nevyndal Jirka z pĹ™Ă­bornĂ­ku ĹľĂˇdnĂ© noĹľe?"
qb_E1_main;3;no;22;c;negative;V1;PPI;0;0;16;3;"A: Martin stĂˇl v obchodÄ› za pokladnou, kde se staral o reklamace.

B: NepĹ™ijĂ­mal tam Martin nÄ›jakou objednĂˇvku? "
qb_E1_main;3;no;23;d;neutral;V1;PPI;0;0;80;5;"A: Petr strĂˇvil lĂ©to v pĹ™Ă­stavu, jehoĹľ jmĂ©no zapomnÄ›l.  

B: NepĹŻjÄŤil si Petr nÄ›jakou plachetnici? "
qb_E1_main;3;no;24;e;negative;nonV1;NCI;0;0;46;7;"A: Pavel se zastavil v lĂ©kĂˇrnÄ›, odkud si pĹ™inesl mastiÄŤku.

B: Pavel si nepĹ™inesl ĹľĂˇdnĂ© pilulky?"
qb_E1_main;3;no;25;f;neutral;nonV1;NCI;0;1;25;1;"A: Michal poklĂˇdal na stĹŻl Ĺˇperkovnici, kterĂˇ byla drahĂˇ.

B: Michal nedal do Ĺˇperkovnice ĹľĂˇdnĂ˝ prsten?"
qb_E1_main;3;no;26;g;negative;nonV1;PPI;1;0;30;5;"A: Karel Ĺˇel do pĹŻjÄŤovny aut, kde si vybral Mazdu 3.

B: Karel si nevybral nÄ›jakou Ĺˇkodovku?"
qb_E1_main;3;no;27;h;neutral;nonV1;PPI;1;0;3;1;"A: LukĂˇĹˇ poloĹľil na stĹŻl penĂˇl, kterĂ˝ mĂˇlem ztratil.

B: LukĂˇĹˇ z nÄ›j nevytĂˇhnul nÄ›jakou pastelku?"
qb_E1_main;3;no;28;a;negative;V1;NCI;1;0;48;3;"A: Franta si nesl sportovnĂ­ taĹˇku, kam si zabalil raketu.

B: Nezabalil si tam Franta ĹľĂˇdnĂ˝ mĂ­ÄŤ?"
qb_E1_main;3;no;29;b;neutral;V1;NCI;1;1;44;5;"A: Ivan vidÄ›l venku padat snĂ­h, kterĂ˝ rychle pokryl dvorek.

B: Nepostavil si Ivan ĹľĂˇdnĂ©ho snÄ›hulĂˇka?"
qb_E1_main;3;no;30;c;negative;V1;PPI;0;0;63;4;"A: Dan si udÄ›lal vĂ˝let do zoo, kde se mu lĂ­bili papouĹˇci.

B: Neobdivoval tam Dan nÄ›jakou Ĺˇelmu?"
qb_E1_main;3;no;31;d;neutral;V1;PPI;0;0;57;5;"A: David si uĹľil letnĂ­ prĂˇzdniny, na kterĂ© nikdy nezapomene.

B: Nebyl David na nÄ›jakĂ©m tĂˇboĹ™e?"
qb_E1_main;3;no;32;e;negative;nonV1;NCI;0;0;41;1;"A: Honza byl na lekci hranĂ­ ĹˇachĹŻ, pĹ™i kterĂ© pĹ™iĹˇel o svĂ© stĹ™elce.

B: Honza nepĹ™iĹˇel o ĹľĂˇdnĂ©ho pÄ›Ĺˇce?"
qb_E1_main;4;no;1;g;negative;nonV1;PPI;1;0;48;2;"A: Eva se zĂşÄŤastnila lingvistickĂ© olympiĂˇdy, kde skonÄŤila jako ÄŤtvrtĂˇ.

B: Eva nevyhrĂˇla nÄ›jakou cenu?"
qb_E1_main;4;no;2;h;neutral;nonV1;PPI;1;0;56;2;"A: Sandra byla na vyĹˇetĹ™enĂ­ v zubnĂ­ ordinaci, kam chodĂ­ docela ÄŤasto.

B: ZubaĹ™ka jĂ­ nevytrhla nÄ›jakĂ˝ zub?"
qb_E1_main;4;no;3;a;negative;V1;NCI;1;0;73;1;"A: MarkĂ©ta se zapsala na kurz vaĹ™enĂ­, kvĹŻli kterĂ©mu si od maminky pĹŻjÄŤila papiĹĂˇk.

B: NepĹŻjÄŤila si MarkĂ©ta od maminky ĹľĂˇdnou pĂˇnviÄŤku?"
qb_E1_main;4;no;4;b;neutral;V1;NCI;1;1;22;2;"A: AdĂ©la rĂˇno vychĂˇzela z pekĂˇrny, kterĂˇ je za rohem.

B: NechtÄ›la AdĂ©la ĹľĂˇdnĂ© kolĂˇÄŤe?"
qb_E1_main;4;no;5;c;negative;V1;PPI;0;0;46;6;"A: Lenka zaĹˇla do knihovny, kde si pĹŻjÄŤila bĂˇsnickou sbĂ­rku. 

B: NepĹŻjÄŤila si Lenka nÄ›jakĂ˝ romĂˇn?"
qb_E1_main;4;no;6;d;neutral;V1;PPI;0;0;71;4;"A: Sabina Ĺˇla o vĂ­kendu do divadla, kam sehnala levnĂ© lĂ­stky.

B: Nebyla Sabina na nÄ›jakĂ© tragĂ©dii?"
qb_E1_main;4;no;7;e;negative;nonV1;NCI;0;0;30;4;"A: Jana mĂˇ na zahradÄ› zĂˇhon, kam zasadila zeleninu.

B: Jana tam nezasadila ĹľĂˇdnĂ© kvÄ›tiny?"
qb_E1_main;4;no;8;f;neutral;nonV1;NCI;0;1;15;3;"A: Johana zavĹ™ela kufĹ™Ă­k s nĂˇĹ™adĂ­m, kterĂ˝ mÄ›la na pĹŻdÄ›. 

B: Johana do kufĹ™Ă­ku nevrĂˇtila ĹľĂˇdnĂ˝ ĹˇroubovĂˇk?"
